Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,cluster_k5,PC1,PC2,PC1_3,PC2_3,PC3_3,TSNE1,TSNE2
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,1,-0.46294291776705515,-0.05684072256456673,-0.46294291776705515,-0.05684072256456673,-0.20725769485186107,-8.510263,9.166374
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2/7/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2,1,0.8936389504611748,0.011010440419421948,0.8936389504611748,0.011010440419421948,-1.5177038584202576,3.27013,-13.117949
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7,0,2.3599856571596183,-0.8615276775843085,2.3599856571596183,-0.8615276775843085,-0.2205457833046917,32.268097,19.188593
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,562.32,4.761904762,28.116,4.5,0,1.6380419676238138,-0.7349953532128221,1.6380419676238138,-0.7349953532128221,1.5032375863894754,24.083847,8.055401
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,3/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6,0,1.1196577018691993,-1.1831588806854882,1.1196577018691993,-1.1831588806854882,0.6421318119621898,21.381626,5.758545
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,1/1/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9,0,0.7456904382464088,0.21693766826568575,0.7456904382464088,0.21693766826568575,0.3463884046101847,38.749798,-12.016044
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6,3,-0.97845370830567,1.1146662965681906,-0.97845370830567,1.1146662965681906,0.013470538566684585,-1.6635185,-36.124172
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,80.6,4.761904762,4.03,4.4,2,-1.5159237153458398,-1.1983259656403609,-1.5159237153458398,-1.1983259656403609,1.0579043108914747,-13.127763,5.0744395
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,4.761904762,21.51,4.8,0,0.8535159849529798,-0.5617873669588916,0.8535159849529798,-0.5617873669588916,1.513814067072039,18.793158,14.382233
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,3/5/2019,10:40,Ewallet,263.94,4.761904762,13.197,5.1,4,-0.0020903386883800463,-0.13709674109831121,-0.0020903386883800463,-0.13709674109831121,1.864899410264637,12.422662,18.460873
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4,2,-1.7303346502881403,-1.2428464455408317,-1.7303346502881403,-1.2428464455408317,0.9628469080828751,-26.794424,-22.870935
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9,3,-0.9822966362607507,1.214809643021272,-0.9822966362607507,1.214809643021272,-1.2269039349582964,-1.4490016,-29.044218
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,4,0.022871914218520868,0.2921007132579227,0.022871914218520868,0.2921007132579227,1.6473738160929108,-13.111286,-6.9412274
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5,1,0.7370552426233358,0.3887841281937871,0.7370552426233358,0.3887841281937871,-1.0930046569559748,17.30169,-12.075222
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2/8/2019,15:31,Cash,33.52,4.761904762,1.676,6.7,2,-2.0657523176619876,0.06496282625653471,-2.0657523176619876,0.06496282625653471,0.5447866478500096,-24.219614,-26.244593
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,3/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7,4,-0.4789075078471482,1.212529119488417,-0.4789075078471482,1.212529119488417,1.1856028897682682,-13.215006,29.660759
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,441.8,4.761904762,22.09,9.6,4,0.8505297728443263,1.8771624548726271,0.8505297728443263,1.8771624548726271,0.03308873530678283,-6.793267,32.491436
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4,1,-0.20934900609198692,-0.5808786880474365,-0.20934900609198692,-0.5808786880474365,-1.5038799837180097,-3.5230346,-5.9566545
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8,0,1.0878376126283613,-0.37296709378918164,1.0878376126283613,-0.37296709378918164,1.691900543397828,15.064462,24.512623
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5,0,2.275958551591062,-1.218388827133363,2.275958551591062,-1.218388827133363,0.6313498091625017,39.26349,12.974652
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,1/10/2019,14:49,Cash,670.24,4.761904762,33.512,5.1,0,2.062542039230444,-0.69888476671666,2.062542039230444,-0.69888476671666,0.7700216984318067,36.183296,21.90283
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1,4,-0.24085790832675183,0.0942721473986463,-0.24085790832675183,0.0942721473986463,2.239990409881828,-25.292751,-15.5975
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2/6/2019,10:42,Ewallet,397.68,4.761904762,19.884,7.5,4,0.7973906130042124,1.0612252053363536,0.7973906130042124,1.0612252053363536,1.1357657160801804,-15.6208725,19.164944
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,1/7/2019,12:28,Ewallet,68.12,4.761904762,3.406,6.8,4,-1.271328628968395,0.5153558411120363,-1.271328628968395,0.5153558411120363,1.2297671045440495,-26.20161,26.843218
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,3/10/2019,19:15,Ewallet,313.1,4.761904762,15.655,7.0,4,0.03822679846463628,0.1863036740174297,0.03822679846463628,0.1863036740174297,0.33451175343050366,-12.374294,-7.0195794
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7,0,1.5056176617110548,-1.4504038981151322,1.5056176617110548,-1.4504038981151322,0.023735807411105623,23.06913,18.936958
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,439.36,4.761904762,21.968,7.6,1,0.8253474390583996,0.022141286808026156,0.8253474390583996,0.022141286808026156,-0.7669976149372758,11.496911,11.559033
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,3/3/2019,13:01,Cash,240.96,4.761904762,12.048,7.7,1,-0.22316006064867028,-0.2884569802999158,-0.22316006064867028,-0.2884569802999158,-1.2439265319024753,5.684361,-2.6880102
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,86.72,4.761904762,4.336,7.9,4,-0.9087392750641459,1.3335495964615398,-0.9087392750641459,1.3335495964615398,1.333149773372635,-23.654367,25.18033
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2/2/2019,10:11,Cash,112.22,4.761904762,5.611,6.3,2,-1.1962874318666032,0.04005914609677642,-1.1962874318666032,0.04005914609677642,0.990172390431161,-18.185312,-11.529706
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2/8/2019,13:03,Cash,414.72,4.761904762,20.736,5.6,0,0.7293405664582329,-0.5693781045052961,0.7293405664582329,-0.5693781045052961,0.6006986682544688,23.017715,7.457752
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,789.6,4.761904762,39.48,7.6,0,2.692811208489219,0.7104403830138979,2.692811208489219,0.7104403830138979,0.2783819466033804,30.901106,5.2979507
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,30.74,4.761904762,1.537,7.2,3,-2.195246266345489,-0.11721763915999539,-2.195246266345489,-0.11721763915999539,-0.2434072766246308,-10.628009,-15.501047
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,18:00,Cash,375.84,4.761904762,18.792,9.5,4,0.5966436109363444,1.9545287201594095,0.5966436109363444,1.9545287201594095,0.40691233528939175,-18.90486,30.94774
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,17:24,Credit card,510.21,4.761904762,25.5105,8.4,1,1.20996992132958,0.38253517496767697,1.20996992132958,0.38253517496767697,-1.0741483191775367,32.588768,-7.664373
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2/6/2019,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,1,-0.29194841592250015,-2.393767712720639,-0.29194841592250015,-2.393767712720639,-0.7219084023687095,11.950392,-2.4303052
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2/10/2019,12:45,Credit card,113.58,4.761904762,5.679,8.1,3,-1.192098682420008,-0.062445426231191696,-1.192098682420008,-0.062445426231191696,-1.2706198466864254,15.093195,-21.251865
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,826.3,4.761904762,41.315,7.9,0,2.85018051242788,0.39899118896886016,2.85018051242788,0.39899118896886016,-0.5658684027270854,34.32494,6.9027486
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,639.8,4.761904762,31.99,9.5,0,1.8407073326490369,1.7103850176496762,1.8407073326490369,1.7103850176496762,-0.1506932506147233,31.560596,-12.543583
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2/10/2019,15:10,Cash,222.95,4.761904762,11.1475,8.5,3,-0.5394533921794423,0.6193819676669484,-0.5394533921794423,0.6193819676669484,-0.6470718255008345,-28.314493,17.067484
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,71.48,4.761904762,3.574,6.5,2,-1.6252921359445953,-0.6948607846864197,-1.6252921359445953,-0.6948607846864197,-0.45303853781952225,-25.715864,0.59102803
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,15:46,Credit card,15.43,4.761904762,0.7715,6.1,2,-2.414235886404651,-0.5499831048880259,-2.414235886404651,-0.5499831048880259,0.28225945536792657,-34.84438,-21.022259
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,3/7/2019,11:49,Ewallet,32.32,4.761904762,1.616,6.5,2,-2.187298803922258,-0.4535706982189213,-2.187298803922258,-0.4535706982189213,-0.03171411636996393,-17.897297,-25.732706
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,687.84,4.761904762,34.392,8.2,0,2.1216807465137433,0.8064987319729879,2.1216807465137433,0.8064987319729879,-0.2252020908979515,30.661938,17.514406
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,88.68,4.761904762,4.434,5.8,2,-1.4653115295343522,-0.38996377731585546,-1.4653115295343522,-0.38996377731585546,0.861595695652708,-17.785875,-11.903091
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,716.8,4.761904762,35.84,6.6,0,2.255932171140564,0.13416249367562721,2.255932171140564,0.13416249367562721,0.44190652081018716,38.070393,17.655481
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,723.5,4.761904762,36.175,5.4,0,2.4428489540021014,-1.0412174163158567,2.4428489540021014,-1.0412174163158567,-0.0827202486148005,27.994701,8.326894
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,20:36,Cash,183.66,4.761904762,9.183,9.3,3,-0.8156315579373615,0.7588841493528288,-0.8156315579373615,0.7588841493528288,-1.3394619310815272,-6.3759084,-3.6300063
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,74.22,4.761904762,3.711,10.0,3,-1.740009968289489,1.2411756988833067,-1.740009968289489,1.2411756988833067,-1.1757599624457904,-34.024563,18.478964
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,334.38,4.761904762,16.719,7.0,1,0.13707292173320693,-0.010302081334811,0.13707292173320693,-0.010302081334811,-0.056382909773695845,14.804093,13.608462
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,495.63,4.761904762,24.7815,10.0,1,1.1499639434649656,1.089935714915211,1.1499639434649656,1.089935714915211,-1.6437954749407597,22.082262,-3.312231
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,3/6/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6,1,-0.3975909090252548,-0.27277508054895183,-0.3975909090252548,-0.27277508054895183,-2.27125192346018,20.388647,-21.063572
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,302.96,4.761904762,15.148,7.6,4,0.05195642274460712,0.8037553575384885,0.05195642274460712,0.8037553575384885,0.6538244631979137,-20.306368,-3.8603928
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,158.7,4.761904762,7.935,5.8,1,-0.3254218337777896,-1.6573765525267314,-0.3254218337777896,-1.6573765525267314,-1.4202986703324758,3.9989798,-4.624022
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2/10/2019,15:43,Ewallet,66.94,4.761904762,3.347,6.7,2,-1.7388578159478352,-0.13693065250339945,-1.7388578159478352,-0.13693065250339945,0.20679955360149285,-15.899246,5.1080923
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,15:01,Ewallet,585.66,4.761904762,29.283,9.9,0,1.6249067609152266,2.0364789464908544,1.6249067609152266,2.0364789464908544,0.0020861752048571816,25.079752,-3.8748817
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,787.7,4.761904762,39.385,6.4,0,2.656788041747504,-0.33116265259880323,2.656788041747504,-0.33116265259880323,-0.1385203469105563,36.991444,21.291544
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2/2/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3,2,-2.245847982837859,-1.4800964018626235,-2.245847982837859,-1.4800964018626235,0.7858606590516768,-31.933672,2.87303
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,894.8,4.761904762,44.74,9.6,0,3.0802676641876388,1.4455044382149351,3.0802676641876388,1.4455044382149351,-0.8869097587420146,44.842606,0.5442256
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,621.2,4.761904762,31.06,5.9,0,1.8546851894080238,-0.8226305179350653,1.8546851894080238,-0.8226305179350653,-0.36265682802527077,39.695873,21.493149
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,3/5/2019,18:17,Ewallet,145.56,4.761904762,7.278,4.0,2,-0.9672244156618358,-1.3706168563963195,-0.9672244156618358,-1.3706168563963195,1.1822881365320006,-16.678091,14.862152
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,3/9/2019,18:21,Cash,455.46,4.761904762,22.773,8.7,4,0.8704236551075353,1.1008888096684148,0.8704236551075353,1.1008888096684148,-0.20347337020114956,-1.0599879,25.647911
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,0,1.9755233627386346,1.1791884656222529,1.9755233627386346,1.1791884656222529,-0.9337643126802417,43.061203,-5.216303
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,17:04,Credit card,416.5,4.761904762,20.825,5.4,1,0.9323147524179886,-1.5102622525372738,0.9323147524179886,-1.5102622525372738,-0.8641883735423982,4.4376245,7.3237686
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,1/9/2019,14:20,Credit card,441.36,4.761904762,22.068,8.6,1,0.8510410456195936,0.3823542777155435,0.8510410456195936,0.3823542777155435,-1.2815832359435095,22.534407,-22.97946
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,1/12/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7,1,-0.33850895172301193,-1.5912133398118657,-0.33850895172301193,-1.5912133398118657,-1.1991317265241923,14.966268,-8.647929
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,3/5/2019,16:24,Ewallet,783.1,4.761904762,39.155,6.6,0,2.6838237872278685,-0.32342969499865093,2.6838237872278685,-0.32342969499865093,-0.30870417912821574,33.395542,9.593733
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,101.9,4.761904762,5.095,6.0,2,-1.2996103102882015,-0.9940809308066133,-1.2996103102882015,-0.9940809308066133,-0.49273714863516815,-15.6949415,2.2379045
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,1/21/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5,0,1.7734048908107263,-0.13078776869425257,1.7734048908107263,-0.13078776869425257,1.2663773708542667,23.065575,27.804388
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,290.04,4.761904762,14.502,6.4,4,0.24678412227406335,0.5977271570806112,0.24678412227406335,0.5977271570806112,1.5824913555394562,-13.754207,18.5782
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,154.0,4.761904762,7.7,6.6,1,-0.6926474925150596,-0.9574408397025194,-0.6926474925150596,-0.9574408397025194,-1.1980979362410902,-0.63901764,-12.099329
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2/23/2019,18:45,Credit card,321.44,4.761904762,16.072,8.3,4,0.21040232888105104,1.1651906593032066,0.21040232888105104,1.1651906593032066,0.4202767129554071,-16.581888,24.400166
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,3/9/2019,10:17,Cash,244.55,4.761904762,12.2275,6.6,2,-0.39318963847726485,-0.21634849373510306,-0.39318963847726485,-0.21634849373510306,0.13484131106519934,-13.800412,-9.997829
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,3/5/2019,14:31,Ewallet,581.42,4.761904762,29.071,4.0,0,1.6641595260566902,-1.2340826818534434,1.6641595260566902,-1.2340826818534434,1.1774562152688994,20.821188,20.855732
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,382.6,4.761904762,19.13,9.9,4,0.3978454443070647,1.9126196004744773,0.3978454443070647,1.9126196004744773,-0.20255000537022436,7.17784,33.14663
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,3/27/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3,1,0.24909596426889835,-0.058833620731147424,0.24909596426889835,-0.058833620731147424,-0.5125405983858942,16.835289,-24.508675
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,1/2/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7,2,-1.8397630304153987,-0.32134682095465145,-1.8397630304153987,-0.32134682095465145,1.0381023803952365,-23.31796,-21.018717
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,461.94,4.761904762,23.097,6.1,0,0.9714003422625882,-0.16631324233135011,0.9714003422625882,-0.16631324233135011,0.6018349172587744,1.0630993,28.113316
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,189.52,4.761904762,9.476,7.1,2,-0.7312760067506743,0.033365222360368214,-0.7312760067506743,0.033365222360368214,0.04117684655333404,-27.060207,13.295453
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,448.6,4.761904762,22.43,8.2,1,1.025663791943161,-0.046526887656379246,1.025663791943161,-0.046526887656379246,-1.5676394964483296,15.609786,-3.379693
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,1/10/2019,16:42,Ewallet,153.86,4.761904762,7.693,5.1,2,-0.7141799190020264,-1.6706457292034957,-0.7141799190020264,-1.6706457292034957,-0.5577712618278674,-24.79198,3.3765743
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,3/12/2019,12:09,Credit card,579.24,4.761904762,28.962,8.6,0,1.5497660693050064,0.6038578771701245,1.5497660693050064,0.6038578771701245,-0.9548271346997722,32.976467,-7.322344
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2/6/2019,20:05,Credit card,89.75,4.761904762,4.4875,6.6,4,-0.8894158748661548,0.8396821488177703,-0.8894158748661548,0.8396821488177703,1.836717062787508,-25.83385,-15.383702
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,3/8/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2,4,-0.7513435274409186,1.23851575872441,-0.7513435274409186,1.23851575872441,1.8559251053468997,-14.456042,-38.127308
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,878.7,4.761904762,43.935,5.1,0,3.1081527096553874,-0.8439637566215791,3.1081527096553874,-0.8439637566215791,0.44103135444472946,38.659954,17.623066
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2/9/2019,13:11,Cash,74.7,4.761904762,3.735,4.1,2,-1.2990321457209473,-2.1876801909398904,-1.2990321457209473,-2.1876801909398904,-0.3223611996283633,-35.129044,6.0373893
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,3,-1.0476294203900973,1.435889354931345,-1.0476294203900973,1.435889354931345,-0.20917883405150123,-8.807389,-34.643173
